name,longitude,latitude
Letlhakane Primary Hospital,25.584111,-21.420833
Life Gaborone Private Hospital,25.933667,-24.629194
LenMed Health Bokamoso Private Hospital,25.839833,-24.580222
Sidilega Private Hospital,25.900695,-24.620222
Supra Sight Hospital,,
Francistown Academic Hospital,27.493472,-21.234611
Gweta Primary Hospital,25.254111,-20.211167
Tutume Primary Hospital,27.0455,-20.489778
Bobonong Primary Hospital,28.413945,-21.981722
Mmadinare Primary Hospital,27.75138,-21.88106
Spec-Savers Gaborone,25.878068,-24.685981
Donga Diabetics Clinic,27.519472,-21.174694
Bokaa clinic,25.541525,-24.401341
Sbrana Mental Hospital,25.678361,-25.199056
Kanye Seventh-Day Adventist Hospital,25.328163,-25.004503
Orapa Hospital,25.365611,-21.332083
Rakops Primary Hospital,24.3995,-21.03
Sefhare Primary Hospital,27.515639,-23.02325
Hukuntsi Hospital,21.796195,-23.9985
Thamaga Primary Hospital,25.534806,-24.666944
Selibe Phikwe Government Hospital,27.833361,-21.972556
Doctors Inn,23.424722,-19.986806
Maun Private Hospital,23.448722,-19.9675
Prime Health Medical Center,25.925444,-24.604472
"Gumare Primary Hospital, and",22.162889,-19.369528
Debswana Jwaneng Mine Hospital,24.730805,-24.595805
Kanye Seventh-day Adventist Hospital,25.341917,-24.972722
Kasane Primary Hospital,25.150111,-17.80025
Gantsi Primary Hospital,21.632694,-21.709333
Hukuntsi Primary Hospital,21.796195,-23.9985
Tsabong Primary Hospital,22.399361,-26.023889
Bontleng Clinic,27.830972,-21.98025
Block 6 Clinic,25.889333,-24.623167
Otse Clinic,25.74832,-25.030745
Botswana Ash Clinic,26.073972,-20.533194
Compass Green Day Hospital,25.919361,-24.653833
Delta Medical Centre,23.417639,-19.998917
Life Care Family Hospital,21.648194,-21.696111
Mediright Medical Centre,25.885028,-24.610333
Riverside Hospital,27.512556,-21.163111
Glen Valley BDF,,
Thebephatshwa Airbase Hospital,25.332194,-24.245194
Moshupa Private Clinic,25.414111,-24.776278
Mabuo Health Post,26.359054,-22.625758
Mogorosi Health Post,26.565762,-22.436723
Tshimoyapula Health Post,26.929163,-22.118597
Mahalapye Hospital,26.8,-23.1
Boipelego Clinic,,
Russel May Clinic,,
Ramokgwebana Clinic,27.649361,-20.591083
Selebi Phikwe Hospital,27.833361,-21.972556
Sesung Health Post,24.917656,-24.100016
Thabala Clinic,,
Lotlhakane West Health Post,,
Motokwe Clinic,23.299851,-24.049964
Inalegolo Health Post,22.894924,-24.254857
Mandunyane Health Post,,
Damuchujenaa Health Post,,
Tshokwe Health Post,,
Thamaga Clinic,,
Manyana Clinic,25.592564,-24.774905
Mapoka Clinic,27.416667,-20.666667
Mhalapitsa Health Post,27.232956,-22.794005
Tamasane Health Post,27.399968,-22.418374
Tamasane Health Post,27.399968,-22.418374
Magokotswane Health Post,25.495374,-24.406139
Seherelela Health Post,,
Dikwididi Health Post,26.219188,-24.596555
Ramotlabaki Health Post,,
Kgomokasitwa Health Post,25.629183,-25.092326
Tewane Health Post,26.903235,-22.852035
Tapologong Clinic,27.510636,-21.183295
Malolwane Clinic,26.472158,-24.548892
Kgomodiatshaba Health Post,,
Leshibitse Health Post,26.463603,-23.832317
Khurutshe Health Post,26.181992,-23.734291
Pilane Health Post,,
Malotwana Health Post,,
Oliphants Drift Clinic,26.849654,-24.180131
Modipane Health Post,26.122805,-24.619988
Rasesa Health Post,26.077017,-24.374904
Dikgonnye Health Post,26.006118,-24.140072
Ramonaka Health Post,26.465319,-24.57907
Morwa Clinic,25.984694,-24.556861
Oodi Clinic,26.152306,-24.376778
Matlhako Health Post,27.309009,-22.720769
Eretsha Health Post,22.687244,-18.78041
Mabolwe Health Post,28.838221,-21.82312
New Shoshong/ (Sheleketla Clinic,,
Mokgoro Clinic,,
Ramakgwebana Clinic,27.649361,-20.591083
Tshesebe Clinic,27.582559,-20.721618
Mupane Gold Mine Clinic,25.923111,-24.628194
Taupye Health Post,,
Air Strip Clinic,,
Mathubudukwane Clinic,26.435455,-24.610146
Mowana Health Post,27.599678,-20.752325
Ngwapa Health Post,27.748745,-23.00595
Palla Road Health Post,,
Poloka Health Post,,
Shakwe Health Post,,
Dovedale Health Post,,
Mokoswane Health Post,,
Mokobeng Health Post,27.668093,-22.996073
Moshopha Health Post,27.375164,-22.950479
Mosolotshane Health Post,26.379022,-22.936955
Makwate Health Post,27.277559,-23.302053
Madiba Health Post,26.821325,-23.07943
Mmutlane Health Post,,
Mmaphashalala Health Post,26.82328,-23.647415
Maape Health Post,,
Kudumatse Health Post,27.142231,-23.40793
Mokgenene Health Post,26.024655,-23.540873
Dibete Health Post,26.470766,-23.748058
Ikongwe Health Post,26.422721,-23.135494
Moralane Health Post,,
Ramokgonami Clinic,27.423949,-22.864192
Goodhope Primary Hospital,25.44475,-25.470167
Main Mall Optical,,
Vision Care Optimetrist,25.669611,-25.225583
JUST EYES OPTOMETRISTS,,
Opti-lab (pty Ltd,,
Bonwapitse Health Post,26.703337,-23.077619
Pilikwe Clinic,27.23,-22.78
Mookane Clinic,26.660341,-23.689497
Machaneng Clinic,27.488333,-23.189167
Xhosa Clinic,26.832472,-23.1325
Werda Clinic,21.78,-23.998889
Gumare Clinic,22.161853,-19.369068
Shakawe Clinic,21.84632,-18.36122
Matsitama Health Post,,
Matobo Health post,,
Changate Health Post,27.229267,-20.324917
Maposa Health Post,,
Goshwe Health Post,,
Manxotae Health Post,,
Vision Optical Centre,25.922075,-24.665987
Eye Express Riverwalk,25.935222,-24.676611
Eye Express Airport Junction mall,25.927,-24.604667
Mosetse Health Post,26.650972,-20.650507
Magapatona Health Post,,
